"fecha","distrito","poblacion"
2015-05-01,"CARABANCHEL","242.032"
2015-05-01,"CENTRO","131.805"
2015-05-01,"CHAMARTÍN","142.334"
2015-05-01,"CHAMBERÍ","137.454"
2015-05-01,"CIUDAD LINEAL","212.626"
2015-05-01,"FUENCARRAL - EL PARDO","234.883"
2015-05-01,"HORTALEZA","176.320"
2015-05-01,"LATINA","234.842"
2015-05-01,"MONCLOA - ARAVACA","116.581"
2015-05-01,"MORATALAZ"," 94.785"
2015-05-01,"PUENTE DE VALLECAS","227.183"
2015-05-01,"RETIRO","118.390"
2015-05-01,"SALAMANCA","143.123"
2015-05-01,"SAN BLAS-CANILLEJAS","153.303"
2015-05-01,"TETUÁN","152.142"
